Session ID,Publish ID,Collector,Start Date,End Date,Status,Progress,Duration,"Please take a few minutes to fill out the following questionnaire. This questionnaire borrows from a series of questions that are meant to allow you to self-assess your previous behavior as it relates to time, money, relationships, and logic. The intent of this survey is to inform us about your background as a professional in your field, and meant to guide our ongoing research in understanding personalities. This survey will not be tactically used for other than informational purposes in guiding our understanding of your field. Lastly, the survey collects no personal data beyond general demographic details and we will only use aggregated anonymous data to draw conclusions.",Profession,Title,Gender,Age,Ethnicity,MD Purchase Involvement,MD Purchase Hours/Week,CRT Q1,CRT Q2,CRT Q3,CRT Q4,CRT Q5,CRT Q6,CRT Q7,TP Q1,TP Q2,TP Q3A,TP Q3B,TP Q3C,TP Q3D,TP Q3E,RSK Q1,RSK Q2A,RSK Q2B,RSK Q2C,RSK Q2D,RSK Q2E,RSK Q2F,RSK Q2G,RSK Q2H,"Choices are affected by context. We are interested in whether you are taking the time to read each question. To show that you are paying attention, please select only the ""none of the above"" option as your answer.",STI Q1,STI Q2A,STI Q2B,STI Q2C,STI Q2D,STI Q2E,STI Q2F,STI Q2G,TRU Q1,ALT Q1,ALT Q2,"Congrats, you've finished the survey! Thank you for taking the time to give us your invaluable responses. If you are interested in learning more, the survey leveraged several widely used survey measures from ongoing social and behavioral science research from Frederick (2005), Toplak, West, & Stanovich (2014), and Kahneman and Tversky (1992). Please feel free to reach out to us if you have any questions and would like to understand the behavioral science work we do: https://creativescience.co/contact-us/",aid,id,score
74d24415-70bf-4954-a318-1ba81fc28669,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:31 AM","Fri, Nov 27, 2020 10:37 AM",complete,100,336,11/27/2020 17:31,Nurse,Nurse manager,Male,43,White,5,1,10,100,24,12,30,is ahead of where he began,No,3,9,$340 a year from now,$170 now,$170 now,$170 now,$170 now,5,50/50 chance of $565,50/50 chance of $565,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$60 ,5,6,2,7,8,10,7,6,6,100,11/27/2020 17:37,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc137d4-2ffb-1ecc-a273-e222e11f9a65,,
1af3029f-ef49-422f-ae36-89f937b72888,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:38 AM","Fri, Nov 27, 2020 10:45 AM",complete,100,439,11/27/2020 17:38,Nurse,Nurse,Female,41,White,6,10,10,50,24,2,30,"broke even, or has the same amount started with",No,10,7,$170 now,$170 now,$170 now,$170 now,$170 now,10,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$20 ,1,1,1,1,10,10,10,8,10,700,11/27/2020 17:45,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc1396b-d2cd-6e81-293f-03638b12c80f,,
e259e2cf-672f-4732-889c-09fc325a0816,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:38 AM","Fri, Nov 27, 2020 10:48 AM",complete,100,568,11/27/2020 17:38,Healthcare Admin,Revenue Cycle Manager,Female,61,White,8,2,10,100,24,9,30,has lost money,No,7,7,$340 a year from now,$255 a year from now,$170 now,$170 now,$170 now,7,50/50 chance of $565,50/50 chance of $565,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,No Gift,5,5,2,7,10,10,8,8,10,180,11/27/2020 17:48,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc1393a-0afe-bc95-0bb6-493f581187ba,,
54aa0675-808f-4223-9547-6188cea37305,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:39 AM","Fri, Nov 27, 2020 10:45 AM",complete,100,330,11/27/2020 17:39,Healthcare Admin,Director of IT,Male,37,White,9,17,9,100,49,7,30,is ahead of where he began,No,7,6,$340 a year from now,$255 a year from now,$170 now,$170 now,$170 now,4,100% chance of $35,100% chance of $70,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,No Gift,7,7,7,6,9,8,4,4,9,18,11/27/2020 17:45,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc139ad-2b69-897d-b9b7-4091a79ec4b9,,
a891bbbf-6973-4c7e-ae8b-25ae8597f045,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:42 AM","Fri, Nov 27, 2020 10:47 AM",complete,100,335,11/27/2020 17:42,General Physician,family physician,Male,49,White,6,3,10,5,24,4,29,has lost money,No,5,7,$340 a year from now,$170 now,$170 now,$170 now,$170 now,4,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$20 ,5,5,3,6,6,7,6,6,5,200,11/27/2020 17:47,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13a0e-2503-b6f1-4e8c-0d33fbf85153,,
e1c1ad9d-63ba-4be0-bc5e-6201793676cc,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:44 AM","Fri, Nov 27, 2020 10:52 AM",complete,100,483,11/27/2020 17:44,Healthcare Admin,I oversee and manage 3 pediatric divisions within a hospital,Female,61,White,9,1,10,5,24,4,1,is ahead of where he began,No,3,4,$170 now,$170 now,$170 now,$170 now,$170 now,5,50/50 chance of $565,50/50 chance of $565,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,No Gift,9,10,4,8,8,7,5,5,10,500,11/27/2020 17:52,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13aac-8447-d708-3f74-933ffd60472a,,
d7547e4c-de4f-4d75-b177-19ba0b6ee09b,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:44 AM","Fri, Nov 27, 2020 10:48 AM",complete,100,251,11/27/2020 17:44,Healthcare Admin,Administration,Female,27,Black,6,10,1,100,16,10,30,has lost money,No,6,5,$170 now,$255 a year from now,$213 a year from now,$170 now,$170 now,6,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $480,100% chance of $550,None of the above,No Gift,4,4,2,4,4,6,6,6,7,200,11/27/2020 17:48,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13ac7-a7c5-06f2-4b33-0890817015a6,,
42e8c73b-73cc-40a9-ba29-ad926052d66d,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:44 AM","Fri, Nov 27, 2020 10:49 AM",complete,100,278,11/27/2020 17:44,Healthcare Admin,Athletic Trainer,Male,45,White,8,2,5,100,5,2,15,is ahead of where he began,No,9,8,$170 now,$170 now,$170 now,$170 now,$170 now,1,50/50 chance of $565,50/50 chance of $565,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$20 ,8,10,10,9,10,9,9,9,10,0,11/27/2020 17:49,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13ac2-856f-c820-9875-520d2558afac,,
d275674e-deee-4955-80f0-e074f1e66cc6,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:46 AM","Fri, Nov 27, 2020 11:04 AM",complete,100,1056,11/27/2020 17:46,Healthcare Admin,ADEARA,Male,39,White,7,12,2,25,24,12,30,is ahead of where he began,Yes,8,8,$340 a year from now,$170 now,$170 now,$170 now,$170 now,6,50/50 chance of $565,100% chance of $70,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$40 ,4,4,3,3,9,9,9,8,8,0,11/27/2020 18:04,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13ab2-d31a-77ee-5b79-e63d53016df1,,
fe726761-fb6c-44aa-9995-adae4f1967b7,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:49 AM","Fri, Nov 27, 2020 11:22 AM",complete,100,1964,11/27/2020 17:49,IT company manager,manager,Male,38,White,8,2,10,5,24,8,2,has lost money,No,9,6,$170 now,$255 a year from now,$213 a year from now,$170 now,$170 now,8,100% chance of $35,50/50 chance of $565,100% chance of $150,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,None of the above,$100 ,8,7,9,7,8,6,6,5,4,700,11/27/2020 18:22,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13b70-4c7a-cc13-6def-d74555719f90,,
b2f2e0df-54dd-45ff-9014-20078a2156d6,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:51 AM","Fri, Nov 27, 2020 10:54 AM",complete,100,184,11/27/2020 17:51,Surgeon,Doctor,Male,30,White,9,35,1,100,24,9,30,is ahead of where he began,Yes,9,8,$170 now,$170 now,$170 now,$170 now,$170 now,9,50/50 chance of $565,50/50 chance of $565,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$60 ,9,8,9,8,9,8,9,8,9,200,11/27/2020 17:54,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13a7f-b95d-0bfc-a408-e0d2420bad89,,
727f01ab-a476-4269-97ce-084a109e6d4e,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:54 AM","Fri, Nov 27, 2020 10:59 AM",complete,100,340,11/27/2020 17:54,Nurse,Nursing,Female,30,Latino/Hispanic,2,1,1,100,48,12,15,has lost money,No,9,6,$170 now,$170 now,$170 now,$191 a year from now,$175 a year from now,9,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $550,None of the above,$100 ,9,8,9,9,9,10,9,8,9,100,11/27/2020 17:59,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13ced-76d4-9e0c-2490-16624eaf25a8,,
0ec74407-a638-49db-a100-eb667059385c,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:54 AM","Fri, Nov 27, 2020 11:07 AM",complete,100,766,11/27/2020 17:54,Healthcare Admin,i am manager,Female,32,White,10,20,10,100,24,9,15,"broke even, or has the same amount started with",Yes,10,10,$340 a year from now,$255 a year from now,$213 a year from now,$191 a year from now,$170 now,8,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$80 ,3,4,4,4,10,10,9,9,9,300,11/27/2020 18:07,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13a88-6e63-e622-e509-cc03533bd0ed,,
ca850b6b-d666-4a8c-aa63-5c92fd9d5d01,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:03 AM","Fri, Nov 27, 2020 11:31 AM",complete,100,1688,11/27/2020 18:03,Surgeon,urologist,Male,52,Asian,8,2,1,5,47,4,15,has lost money,No,1,10,$340 a year from now,$255 a year from now,$170 now,$170 now,$170 now,2,50/50 chance of $565,50/50 chance of $565,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$80 ,3,3,1,1,10,10,3,10,9,800,11/27/2020 18:31,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13ee6-7bf0-ab1b-620c-a2e033de636a,,
b6b39c42-a2c3-48a1-9fed-7ef89157d3f6,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:06 AM","Fri, Nov 27, 2020 11:11 AM",complete,100,270,11/27/2020 18:06,Nurse,NURSE,Female,30,White,10,22,10,100,24,6,15,is ahead of where he began,Yes,10,10,$170 now,$255 a year from now,$213 a year from now,$191 a year from now,$175 a year from now,10,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,None of the above,$20 ,10,10,9,7,8,8,9,9,9,0,11/27/2020 18:11,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc14018-bb1c-cf30-df0b-5064252f6bd3,,
412fdc8f-9db1-471c-a026-090e7ff784bc,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:08 AM","Fri, Nov 27, 2020 11:25 AM",complete,100,1023,11/27/2020 18:08,Healthcare Admin,ceo,Male,34,White,8,6,1,100,24,9,15,is ahead of where he began,No,6,6,$170 now,$170 now,$170 now,$170 now,$170 now,7,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$60 ,7,7,7,7,7,7,7,7,7,1800,11/27/2020 18:25,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc14010-7545-c92f-a071-cc07eb42a0d6,,
44556127-8ef5-4277-9e7c-fec59f7cb94d,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:08 AM","Fri, Nov 27, 2020 11:17 AM",complete,100,504,11/27/2020 18:08,Healthcare Admin,nurse,Male,35,White,9,3,9,100,22,2,1,is ahead of where he began,Yes,9,9,$170 now,$170 now,$213 a year from now,$170 now,$170 now,9,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,None of the above,$40 ,9,9,9,9,9,9,9,9,9,100,11/27/2020 18:17,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc14056-069b-db02-c50e-d8d96b4683a5,,
20f03db3-1b33-4e1a-98f5-e8278b4c266d,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:09 AM","Fri, Nov 27, 2020 11:13 AM",complete,100,250,11/27/2020 18:09,Healthcare Admin,manager,Male,42,White,7,4,5,5,47,6,1,"broke even, or has the same amount started with",No,5,5,$170 now,$170 now,$170 now,$170 now,$170 now,4,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,No Gift,6,8,4,4,8,8,5,7,8,100,11/27/2020 18:13,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13fcb-a03e-153b-dd0c-c4609dac7cc5,,
570c2373-92c4-4c37-aaaf-d04e61083ea1,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:09 AM","Fri, Nov 27, 2020 11:15 AM",complete,100,368,11/27/2020 18:09,Nurse,Registered Nurse,Male,33,White,9,15,9,100,24,4,30,is ahead of where he began,Yes,9,2,$340 a year from now,$255 a year from now,$170 now,$170 now,$170 now,8,100% chance of $35,100% chance of $70,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$20 ,3,4,3,5,3,10,5,9,8,900,11/27/2020 18:15,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc140b6-d831-ea6d-fc30-1a8adfd96470,,
a8878f32-81e0-4ce3-8815-9bb6fce419f7,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:09 AM","Fri, Nov 27, 2020 11:21 AM",complete,100,681,11/27/2020 18:09,Healthcare Admin,Clinic manager,Female,40,Asian,6,6,10,20,24,12,1,has lost money,Yes,10,10,$340 a year from now,$170 now,$170 now,$170 now,$170 now,8,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$60 ,5,5,5,5,10,8,8,5,9,0,11/27/2020 18:21,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc1409b-01c4-6411-63fa-9ede69cde5e3,,
b14554a7-8531-432f-b26f-27831a93b98f,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:11 AM","Fri, Nov 27, 2020 11:24 AM",complete,100,816,11/27/2020 18:11,Healthcare Admin,manager,Male,40,White,8,2,10,9,24,9,30,has lost money,No,8,9,$340 a year from now,$255 a year from now,$213 a year from now,$170 now,$170 now,7,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $550,None of the above,No Gift,10,9,8,10,10,10,10,8,10,1800,11/27/2020 18:24,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc1405c-5bd3-e08a-e3de-e50822a1756a,,
9bc2dd65-4cc7-48d5-afd2-03dd373215a5,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:12 AM","Fri, Nov 27, 2020 11:18 AM",complete,100,364,11/27/2020 18:12,information technology,manager,Male,41,White,9,6,1,100,48,2,15,is ahead of where he began,Yes,9,9,$170 now,$170 now,$170 now,$170 now,$175 a year from now,8,50/50 chance of $565,100% chance of $70,50/50 chance of $565,100% chance of $230,50/50 chance of $565,100% chance of $410,50/50 chance of $565,50/50 chance of $565,None of the above,$80 ,9,9,9,9,6,8,9,4,9,1000,11/27/2020 18:18,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc14138-27c6-0e81-5602-a13705ae3ee5,,
6df7010c-0135-41b6-aa49-76f00519339e,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 11:12 AM","Fri, Nov 27, 2020 11:52 AM",complete,100,2414,11/27/2020 18:12,General Physician,Internal doctor,Female,37,White,9,5,10,100,24,9,1,has lost money,No,9,8,$170 now,$170 now,$170 now,$170 now,$170 now,7,50/50 chance of $565,50/50 chance of $565,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$60 ,10,9,6,9,9,10,8,9,8,800,11/27/2020 18:52,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc140b0-9695-943a-7ec3-753962e960c6,,
