,Name,Picture,Rarity,Family,Role,Max HP,Max MP,Max ATK,Max DEF,Max AGL,Max WIS,Move,Frizz,Sizz,Crack,Woosh,Bang,Zap,Zam,,Sleep,Poison,Physical Lock,Spell Lock,Martial Lock,Breath Lock,Hobble,Stun,Blind,Curse,Paralysis,Confusion,Charmed,,Leader Skill,1st Awakening Passive,Ability Scroll Suggestion,How to Obtain,Battle Road?,Skill 1 - Damage Type,Skill 1 - Damage Element,Skill 1 - Type/Range,Skill 1 - Cost,Skill 1 - Name,Skill 1 - Description,Skill 2 - Damage Type,Skill 2 - Damage Element,Skill 2 - Type/Range,Skill 2 - Cost,Skill 2 - Name,Skill 2 - Description,Skill 3 - Damage Type,Skill 3 - Damage Element,Skill 3 - Range,Skill 3 - Cost,Skill 3 - Name,Skill 3 - Description
13,Metal Dragon,,S,Inorganic,Attack,835,333,351,427,251,212,2,Weak,,Heavy Res,,Heavy Res,,Weak,,Half Res,Immune,,,Half Res,,Weak,,,,,Weak,,,Raises Woosh-type potency by 10%.,"Martial Tricks: Lowers martial ability MP cost by 10%, raises potency and effect.",Another B rank martial elemental attack.,Gacha,,Attack/Martial,Woosh,Range: Radius 1,Base MP: 26,Thin Air,Deals moderate Woosh-type martial damage to all enemies in area of effect.,Attack/Physical,Typeless,Range: 1,Base MP: 20,Heavy Blow,Deals 195% potency physical damage to 1 enemy.,Attack/Martial,Woosh,Range: Radius 1,Base MP: 84,Twister Blister,Deals major Woosh-type martial damage to all enemies in area of effect.
14,Night Clubber,,S,Beast,Defence,690,230,335,586,268,192,2,Heavy Res,Heavy Res,,Weak,,Weak,,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,Raises beast physical potency by 20%.,Crit Rate Up: Raises critical hit rate by 5%.,Physical attack with range.,Gacha,,Attack/Physical,Typeless,Range: 1,Base MP: 20,Slashing Edge,Deals 195% potency physical damage to 1 enemy.,Attack/Physical,Typeless,Range: 1,Base MP: 26,Hatchet Man,"Delivers a 100% potency physical damage critical hit to 1 enemy, but often misses.",Attack/Physical,Typeless,Range: Fan,Base MP: 68,Ultra Stomp,Deals 180% potency physical damage to all enemies in area of effect.
15,Prism Peacock,,S,Beast,Magic,681,342,260,296,425,297,2,Heavy Res,,,Heavy Res,Weak,,Weak,,Weak,Weak,,,,Half Res,Immune,,,,Half Res,,,,Raises Frizz-type potency by 10%.,Sporadic MP Regen: Action start: Occasionally recovers 10% of MP.,Another B rank elemental spell.,Gacha,,Attack/Spell,Frizz,Range: 3,Base MP: 16,Frizzle,Deals moderate Frizz-type spell damage to 1 enemy.,Attack/Breath,Zap,Range: Straight line 3,Base MP: 27,Blessed Breath,Deals moderate Zap-type breath damage to all enemies in area of effect.,Attack/Martial,Frizz,Range: Radius 1,Base MP: 84,Cremate,Deals major Frizz-type martial damage to all enemies in area of effect.
16,Queen Slime,,S,Slime,Debuff,930,327,273,355,390,260,2,,Heavy Res,,Weak,Heavy Res,,Weak,,Weak,,,Weak,,,,,Immune,Half Res,,,Half Res,,Raises slime martial potency by 20%.,Sporadic MP Regen: Action start: Occasionally recovers 10% of MP.,,Limited Time Gacha,Yes - limited time,Attack/Martial,Typeless,Range: Front 2,Base MP: 25,Tug,"Deals moderate martial damage to 1 enemy, pulls it 2 spaces closer.",Attack/Martial,Crack,Range: Radius 1,Base MP: 26,Glacier,Deals moderate Crack-type martial damage to all enemies in area of effect.,Attack/Martial,Crack,Range: Front 3,Base MP: 80,Icy Chains,"Deals major Crack-type martial damage to all enemies in area of effect, pulls them 1 space closer."
17,Royal Reptile,,S,Dragon,Attack,751,255,410,310,348,227,2-3,,Heavy Res,Heavy Res,Weak,,,Weak,,,Weak,,,,Half Res,,,,,Half Res,Immune,Weak,,Raises dragon DEF by 30%.,Move +1: Raises Move by 1.,Physical attack with range.,Gacha,,Attack/Physical,Zap,Range: 1,Base MP: 17,Tempest Slash,Deals 180% potency Zap-type physical damage to 1 enemy.,Attack/Physical,Bang,Range: 1,Base MP: 17,Blast Slash,Deals 180% potency Bang-type physical damage to 1 enemy.,Attack/Physical,Zap,Range: 1,Base MP: 38,Thunder Slash,Deals 270% potency Zap-type physical damage to 1 enemy.
18,Slionheart,,S,Slime,Attack,530,215,350,257,316,174,2-3,Weak,,Heavy Res,,Heavy Res,,Weak,,Weak,,,Weak,,,,,Immune,Half Res,,,Half Res,,Lowers enemy DEF by 20%.,Move +1: Raises Move by 1.,,Limited Time Gacha,Yes - limited time,Debuff/Physical,Typeless,Range: Straight line 2,Base MP: 26,Slime Slash,"Deals 175% potency physical damage to all enemies in area of effect, rarely stuns.",Attack/Physical,Zap,Range: Range 1,Base MP: 22,Lightning Multislash,Deals 55% potency Zap-type physical damage to random enemies in area of effect 4 times.,Debuff/Physical,Woosh,Range: Range 1,Base MP: 52,Windy Slice and Dice,"Deals 70% potency Woosh-type physical damage to 1 enemy 4 times, rarely lowers DEF for 3 turns."
19,Squidzilla,,S,Nature,Attack,913,271,388,337,272,216,2,Heavy Res,Heavy Res,,Weak,,Weak,,,,,Half Res,,,Weak,,Weak,Immune,,,,Half Res,,Raises physical potency by 10%.,Sporadic Attack Prep: Action start: Occasionally greatly raises ATK for 2 turns.,Physical attack with range.,Gacha,,Attack/Physical,Typeless,Range: Semi-Radius 1,Base MP: 27,Multifists,Deals 50% potency physical damage to random enemies in area of effect 4 times.,Attack/Physical,Typeless,Range: 1,Base MP: 20,Slashing Edge,Deals 195% potency physical damage to 1 enemy.,Attack/Physical,Bang,Range: 1,Base MP: 38,Burst Slash,Deals 270% potency Bang-type physical damage to 1 enemy.
20,Wight King,,S,Undead,Magic,522,411,272,272,335,348,2,Weak,Weak,,,Heavy Res,Heavy Res,,,Half Res,Half Res,,,Weak,,,,Weak,,Immune,,,,Raises spell attacks by 10%.,Sporadic MP Regen: Action start: Occasionally recovers 10% of MP.,Another B rank elemental spell.,Gacha,,Attack/Spell,Woosh,Range: Front 3,Base MP: 24,Swoosh,Deals moderate Woosh-type spell damage to all enemies in area of effect.,Attack/Spell,Zam,Range: 3,Base MP: 16,Zammle,Deals moderate Zam-type spell damage to 1 enemy.,Attack/Spell,Woosh,Range: Front 3,Base MP: 108,Kaswoosh,Deals major Woosh-type spell damage to all enemies in area of effect.
21,Zoma,,S,???,Magic,708,430,263,248,347,376,2,Heavy Res,,,Weak,Heavy Res,Weak,,,Half Res,,,Half Res,,,Weak,Immune,,,Weak,,,,Raises Crack-type spell potency by 20%.,"Spell Tricks: Lowers spell ability MP cost by 10%, raises potency and effect.",,Limited Time Gacha,Yes - limited time,Debuff/Breath,Crack,Range: Straight line 3,Base MP: 57,Frigid Breath,"Deals moderate Crack-type breath damage to all enemies in area of effect, rarely stuns.",Attack/Spell,Typeless,Range: Range 3,Base MP: 108,Psycannon,Deals major spell damage to 1 enemy.,Attack/Spell,Crack,Range: Front 3,Base MP: 120,Glacial Doom,Deals major Crack-type spell damage to all enemies in area of effect.
23,Armful,,A,Undead,Attack,708,232,333,320,254,161,2,Weak,,,Heavy Res,Weak,,Heavy Res,,Half Res,Half Res,,,,,Weak,,Weak,,Immune,,,,Raises undead physical potency by 10%.,Rare HP Regen: Action start: Rarely heals HP.,,DQIII Event,Yes - limited time,Debuff/Breath,Typeless,Range: Straight line 3,Base MP: 11,Burning Breath,Occasionally paralyses all enemies in area of effect.,Attack/Physical,Woosh,Range: 1,Base MP: 17,Aeolian Slash,Deals 180% potency Woosh-type physical damage to 1 enemy.,Attack/Physical,Typeless,Range: Range 1,Base MP: 26,Wild Slash,Deals 32% potency physical damage to 1 enemy 6 times.
24,Axesaurus,,A,Dragon,Attack,780,251,347,262,233,130,2,,,Weak,Heavy Res,Weak,,Heavy Res,,,Weak,,,,Half Res,,,,,Half Res,Immune,Weak,,Raises dragon physical potency by 10%.,Frizz-type Breath Potency +10%: Raises Frizz-type breath potency by 10%.,,Gacha,,Attack/Breath,Frizz,Range: Straight line 2,Base MP: 9,Fire Breath,Deals minor Frizz-type breath damage to all enemies in area of effect.,Attack/Physical,Typeless,Range: 1,Base MP: 20,Slashing Edge,Deals 195% potency physical damage to 1 enemy.,Attack/Breath,Frizz,Range: Straight line 2,Base MP: 57,Inferno,Deals moderate Frizz-type breath damage to all enemies in area of effect.
25,Bone Baron,,A,Undead,Magic,558,227,283,196,318,238,4,Weak,Weak,,,Heavy Res,Heavy Res,,,Half Res,Half Res,,,Weak,,,,Weak,,Immune,,,,Raises Zam-type potency by 5%.,Zam-type Spell Potency +10%: Raises Zam-type spell potency by 10%.,,Gacha,,Attack/Spell,Zam,Range: 3,Base MP: 4,Zam,Deals minor Zam-type spell damage to 1 enemy.,Attack/Spell,Zam,Range: 3,Base MP: 16,Zammle,Deals moderate Zam-type spell damage to 1 enemy.,Attack/Spell,Woosh,Range: Front 3,Base MP: 24,Swoosh,Deals moderate Woosh-type spell damage to all enemies in area of effect.
26,Boss Troll,,A,Demon,Defence,942,225,320,208,255,180,2,,,Weak,Heavy Res,Weak,,Heavy Res,,,,Half Res,,,,,Half Res,,Weak,Weak,,Immune,,Raises demon physical potency by 10%.,Rare Insulate: Action start: Rarely greatly raises Breath resistance for 4 turns.,,Limited Time Gacha,Yes - limited time,Attack/Physical,Sizz,Range: Radius 1,Base MP: 5,Firetwister,Deals 105% potency Sizz-type physical damage to all enemies in area of effect.,Debuff/Physical,Typeless,Range: 1,Base MP: 30,Scrap Mettle,"Deals 195% potency physical damage to 1 enemy, occasionally lowers DEF for 3 turns.",Support/Martial,Typeless,Range: Self,Base MP: 21,Meditation,Heals a major amount of HP for the user.
27,Cosmic Chimaera,,A,Nature,Magic,465,310,233,221,327,273,2,,Heavy Res,Weak,Heavy Res,,,Weak,,Weak,Weak,,,,Half Res,Immune,,,,Half Res,,,,Raises Frizz-type potency by 5%.,Frizz-type Spell MP Cost -10%: Lowers Frizz-type spell MP cost by 10%.,,Limited Time Gacha,Yes - limited time,Attack/Spell,Frizz,Range: 3,Base MP: 4,Frizz,Deals minor Frizz-type spell damage to 1 enemy.,Attack/Spell,Frizz,Range: 3,Base MP: 16,Frizzle,Deals moderate Frizz-type spell damage to 1 enemy.,Attack/Spell,Bang,Range: Cross 2,Base MP: 30,Boom,Deals moderate Bang-type spell damage to all enemies in area of effect.
28,Dark Skeleton,,A,Undead,Attack,817,223,375,257,202,165,2,,,,Heavy Res,Weak,Weak,Heavy Res,,Half Res,Half Res,,,Weak,,,,Weak,,Immune,,,,Raises undead DEF by 15%.,Rare Attack Prep: Action start: Rarely greatly raises ATK for 2 turns.,,Limited Time Gacha,,Debuff/Physical,Typeless,Range: 1,Base MP: 12,Heart Breaker,"Deals 130% potency physical damage to 1 enemy, occasionally stuns.",Attack/Physical,Typeless,Range: 1,Base MP: 23,Falcon Slash,Deals 100% potency physical damage to 1 enemy 2 times.,Attack/Physical,Zam,Range: 1,Base MP: 17,Dark Spike,Deals 180% potency Zam-type physical damage to 1 enemy.
29,Devilmoth,,A,Nature,Magic,440,275,283,152,340,235,4,Weak,Weak,,,Heavy Res,Heavy Res,,,,,Weak,Half Res,,,Half Res,,,,Weak,,Immune,,Raises Woosh-type potency by 5%.,Woosh-type Spell Potency +10%: Raises Woosh-type spell potency by 10%.,,Gacha,,Attack/Spell,Woosh,Range: Front 3,Base MP: 6,Woosh,Deals minor Woosh-type spell damage to all enemies in area of effect.,Attack/Spell,Woosh,Range: Front 3,Base MP: 24,Swoosh,Deals moderate Woosh-type spell damage to all enemies in area of effect.,Support/Spell,Typeless,Range: 1-3(+self),Base MP: 24,Kabuff,Raises DEF of all allies in area of effect for 3 turns.
30,Dragon Slime,,A,Slime,Attack,593,275,262,207,320,183,4,Weak,,Heavy Res,,Heavy Res,,Weak,,Weak,,,Weak,,,,,Immune,Half Res,,,Half Res,,Raises Crack-type breath potency by 10%.,Crack-type Breath Potency +10%: Raises Crack-type breath potency by 10%.,,Limited Time Gacha,Yes - limited time,Attack/Breath,Crack,Range: Straight line 2,Base MP: 9,Cool Breath,Deals minor Crack-type breath damage to all enemies in area of effect.,Debuff/Martial,Crack,Range: Cross 2,Base MP: 30,Ting,"Deals moderate Crack-type martial damage to all enemies in area of effect, rarely paralyses.",Attack/Breath,Crack,Range: Straight line 3,Base MP: 57,Frigid Blizzard,Deals moderate Crack-type breath damage to all enemies in area of effect.
31,Dragon Zombie,,A,Undead,Attack,780,311,347,262,181,125,2,Weak,Weak,,Heavy Res,,Heavy Res,,,Half Res,Half Res,,,Weak,,,,Weak,,,Immune,,,Raises breath potency by 5%.,Zam-type Breath MP Cost -10%: Lowers Zam-type breath MP cost by 10%.,,Gacha,,Attack/Breath,Zam,Range: Straight line 3,Base MP: 9,Darkness Breath,Deals minor Zam-type breath damage to all enemies in area of effect.,Attack/Breath,Zam,Range: Straight line 3,Base MP: 27,Dark Breath,Deals moderate Zam-type breath damage to all enemies in area of effect.,Attack/Physical,Zam,Range: 1,Base MP: 17,Dark Spike,Deals 180% potency Zam-type physical damage to 1 enemy.
32,Gigantes,,A,Demon,Defence,870,203,336,276,193,151,2,Heavy Res,,,,Weak,Weak,Heavy Res,,,,,Half Res,,Weak,,Half Res,,,Weak,,Immune,,Lowers enemy DEF by 10%.,Rare Attack Prep: Action start: Rarely greatly raises ATK for 2 turns.,,Gacha,,Attack/Physical,Typeless,Range: 2,Base MP: 8,Stone's Throw,Deals 150% potency physical damage to 1 enemy.,Attack/Physical,Typeless,Range: 1,Base MP: 17,Material Whirl,"Deals 270% potency physical damage to inorganics, 135% potency physical damage to others.",Debuff/Physical,Typeless,Range: 1,Base MP: 28,Beat to a Pulp,"Deals 195% potency physical damage to 1 enemy, occasionally stuns."
33,Green Dragon,,A,Dragon,Attack,839,212,313,251,256,180,2,,,Weak,Heavy Res,Weak,,Heavy Res,,,Weak,,,,Half Res,,,,,Half Res,Immune,Weak,,Raises dragon breath potency by 10%.,Frizz-type Breath MP Cost -10%: Lowers Frizz-type breath MP cost by 10%.,,Story & DQ1 Event,Yes,Attack/Physical,Typeless,Range: Radius 1,Base MP: 7,Helichopter,Deals 110% potency physical damage to all enemies in area of effect.,Attack/Spell,Frizz,Range: Straight line 3,Base MP: 27,Searing Breath,Deals moderate Frizz-type breath damage to all enemies in area of effect.,Attack/Breath,Frizz,Range: Straight line 2,Base MP: 57,Inferno,Deals moderate Frizz-type breath damage to all enemies in area of effect.
34,Handsome Crab,,A,Nature,Attack,572,208,341,208,201,158,2-3,Weak,,Heavy Res,,Heavy Res,,Weak,,,,Half Res,,,Weak,Weak,Immune,,,,,Half Res,,Raises physical potency by 5%.,Move +1: Raises Move by 1.,,Gacha,,Attack/Physical,Woosh,Range: 1,Base MP: 3,Gust Slash,Deals 120% potency Woosh-type physical damage to 1 enemy.,Attack/Physical,Typeless,Range: 1,Base MP: 17,Slime Dunk,"Deals 270% potency physical damage to slimes, 135% potency physical damage to others.",Attack/Physical,Zap,Range: 1,Base MP: 17,Tempest Slash,Deals 180% potency Zap-type physical damage to 1 enemy.
35,Hellion,,A,Beast,Attack,512,203,385,238,338,165,4,,,Weak,Heavy Res,Weak,,Heavy Res,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,Raises beast physical potency by 10%.,Frizz-type Physical Potency +10%: Raises Frizz-type physical potency by 10%.,,Gacha,,Attack/Physical,Frizz,Range: 1,Base MP: 3,Flame Slash,Deals 120% potency Frizz-type physical damage to 1 enemy.,Attack/Physical,Frizz,Range: 1,Base MP: 17,Hellfire Slash,Deals 180% potency Frizz-type physical damage to 1 enemy.,Debuff/Physical,Typeless,Range: 1,Base MP: 28,Mince,"Deals 60% potency physical damage to 1 enemy 3 times, rarely lowers DEF for 3 turns."
36,King Bubble Slime,,A,Slime,Defence,867,237,307,271,196,158,2,Heavy Res,Heavy Res,,Weak,,Weak,,,Weak,Immune,,Weak,,,,,,Half Res,,,Half Res,,Lowers enemy Poison resistance by 25%.,Rare Buff: Action start: Rarely greatly raises DEF for 4 turns.,,Slime Festival Event,Yes - limited time,Debuff/Physical,Typeless,Range: 1,Base MP: 12,Poison Attack,"Deals 130% potency physical damage to 1 enemy, occasionally poisons.",Debuff/Physical,Typeless,Range: Straight line 2,Base MP: 32,Toxic Thrust,"Deals 55% potency physical damage to random enemies in area of effect 4 times, rarely poisons.",Debuff/Breath,Typeless,Range: Straight line 3,Base MP: 23,Venom Breath,Occasionally envenomates all enemies in area of effect.
37,King Slime,,A,Slime,Attack,810,298,279,239,214,201,2,Weak,,Heavy Res,,Heavy Res,,Weak,,Weak,,,Weak,,,,,Immune,Half Res,,,Half Res,,Raises slime martial potency by 10%.,Zap-type Martial Potency +10%: Raises Zap-type martial potency by 10%.,,Gacha,,Debuff/Spell,Typeless,Range: 3,Base MP: 8,Fizzle,Occasionally locks 1 enemy's spells.,Attack/Martial,Typeless,Range: Straight line 2,Base MP: 25,Blow Away,"Deals moderate martial damage to all enemies in area of effect, and knocks them back 3 spaces.",Attack/Martial,Zap,Range: Radius 1,Base MP: 26,Lightning,Deals moderate Zap-type martial damage to all enemies in area of effect.
38,Lethal Armour,,A,Inorganic,Attack,656,238,370,240,280,153,2-3,Heavy Res,,,,Weak,Weak,Heavy Res,,,Immune,,,Half Res,,Weak,,,,Half Res,Weak,,,Raises inorganic physical potency by 10%.,Move +1: Raises Move by 1.,,Limited Time Gacha,,Debuff/Physical,Typeless,Range: 1,Base MP: 12,Attack Attacker,"Deals 130% potency physical damage to 1 enemy, occasionally lowers ATK for 3 turns.",Attack/Physical,Crack,Range: 1,Base MP: 17,Blizzard Rush,Deals 180% potency Crack-type physical damage to 1 enemy.,Attack/Physical,Sizz,Range: 1,Base MP: 17,Smouldering Slash,Deals 180% potency sizz-type physical damage to 1 enemy.
39,Lime Slime,,A,Slime,Support,394,240,193,171,227,240,2,Weak,,Heavy Res,,Heavy Res,,Weak,,Weak,,,Weak,,,,,Immune,Half Res,,,Half Res,,Raises slime spell potency by 10%.,Zap-type Spell Potency +10%: Raises Zap-type spell potency by 10%.,,Limited Time Gacha,Yes - limited time,Attack/Spell,Woosh,Range: Front 3,Base MP: 6,Woosh,Deals minor Woosh-type spell damage to all enemies in area of effect.,Support/Spell,Typeless,Range: 1-3(+self),Base MP: 24,Magic Veil,Raises Spell Res of all allies in area of effect for 3 turns.,Attack/Spell,Zap,Range: 3,Base MP: 16,Zapple,Deals moderate Zap-type spell damage to 1 enemy.
40,Living Statue,,A,Inorganic,Defence,693,203,332,450,223,173,2,,Heavy Res,Heavy Res,Weak,,,Weak,,,Immune,,,Half Res,,Weak,,,,Half Res,Weak,,,Lowers enemy ATK by 5%.,Rare Buff: Action Start: Rarely greatly raises DEF for 4 turns.,,Gacha,,Attack/Physical,Bang,Range: 1,Base MP: 3,Bomb Slash,Deals 120% potency Bang-type physical damage to 1 enemy.,Attack/Physical,Typeless,Range: Semi-Radius 1,Base MP: 27,Multifists,Deals 50% potency physical damage to random enemies in area of effect 4 times.,Attack/Physical,Bang,Range: 1,Base MP: 17,Blast Slash,Deals 180% potency Bang-type physical damage to 1 enemy.
41,Moosifer,,A,Demon,Magic,618,292,248,293,207,256,2,Heavy Res,Heavy Res,,Weak,,Weak,,,,,,Half Res,,Weak,,Half Res,,,Weak,,Immune,,Lowers enemy Bang resistance by 15%.,Bang-type Spell MP Cost -10%: Lowers Bang-type spell MP cost by 10%.,,Story ,,Attack/Spell,Bang,Range: Cross 2,Base MP: 8,Bang,Deals minor Bang-type spell damage to all enemies in area of effect.,Attack/Spell,Bang,Range: Cross 2,Base MP: 30,Boom,Deals moderate Bang-type spell damage to all enemies in area of effect.,Attack/Spell,Crack,Range: 3,Base MP: 24,Crackle,Deals moderate Crack-type spell damage to all enemies in area of effect.
